22:59:11 INFO  TestBase              @@@@@@@@@ START TEST public void RemoveContactTests.removeOneContact()   @@@@@@@@@@
22:59:11 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //*[text()='Sign Out']
22:59:14 INFO  manager.MyListener  Element  with locator -->   By.xpath: //*[text()='Sign Out']  is found!!!
22:59:14 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //*[text()='LOGIN']
22:59:14 INFO  manager.MyListener  Element  with locator -->   By.xpath: //*[text()='LOGIN']  is found!!!
22:59:14 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //input[1]
22:59:14 INFO  manager.MyListener  Element  with locator -->   By.xpath: //input[1]  is found!!!
22:59:14 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //input[2]
22:59:14 INFO  manager.MyListener  Element  with locator -->   By.xpath: //input[2]  is found!!!
22:59:14 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //button[1]
22:59:14 INFO  manager.MyListener  Element  with locator -->   By.xpath: //button[1]  is found!!!
22:59:14 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //a[.='CONTACTS']
22:59:15 INFO  manager.MyListener  Element  with locator -->   By.xpath: //a[.='CONTACTS']  is found!!!
22:59:15 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //div[@class='contact-item_card__2SOIM'][position()=1]/h3
22:59:16 INFO  manager.MyListener  Element  with locator -->   By.xpath: //div[@class='contact-item_card__2SOIM'][position()=1]/h3  is found!!!
22:59:16 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //div[@class='contact-item_card__2SOIM']
22:59:16 INFO  manager.MyListener  Element  with locator -->   By.xpath: //div[@class='contact-item_card__2SOIM']  is found!!!
22:59:16 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //button[.='Remove']
22:59:16 INFO  manager.MyListener  Element  with locator -->   By.xpath: //button[.='Remove']  is found!!!
22:59:16 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //div[@class='contact-item_card__2SOIM'][position()=1]
22:59:16 INFO  manager.MyListener  Element  with locator -->   By.xpath: //div[@class='contact-item_card__2SOIM'][position()=1]  is found!!!
22:59:16 INFO  TestBase              ######### FINISHED TEST public void RemoveContactTests.removeOneContact()  ##########
