22:58:12 INFO  tests.TestBase              @@@@@@@@@ START TEST public void tests.RemoveContactTests.removeOneContact()   @@@@@@@@@@
22:58:12 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //*[text()='Sign Out']
22:58:15 INFO  manager.MyListener  Element  with locator -->   By.xpath: //*[text()='Sign Out']  is found!!!
22:58:15 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //*[text()='LOGIN']
22:58:15 INFO  manager.MyListener  Element  with locator -->   By.xpath: //*[text()='LOGIN']  is found!!!
22:58:15 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //input[1]
22:58:15 INFO  manager.MyListener  Element  with locator -->   By.xpath: //input[1]  is found!!!
22:58:15 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //input[2]
22:58:15 INFO  manager.MyListener  Element  with locator -->   By.xpath: //input[2]  is found!!!
22:58:15 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //button[1]
22:58:15 INFO  manager.MyListener  Element  with locator -->   By.xpath: //button[1]  is found!!!
22:58:15 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //a[.='CONTACTS']
22:58:16 INFO  manager.MyListener  Element  with locator -->   By.xpath: //a[.='CONTACTS']  is found!!!
22:58:16 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //div[@class='contact-item_card__2SOIM'][position()=1]/h3
22:58:17 INFO  manager.MyListener  Element  with locator -->   By.xpath: //div[@class='contact-item_card__2SOIM'][position()=1]/h3  is found!!!
22:58:17 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //div[@class='contact-item_card__2SOIM'][position()=1]
22:58:17 INFO  manager.MyListener  Element  with locator -->   By.xpath: //div[@class='contact-item_card__2SOIM'][position()=1]  is found!!!
22:58:17 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //button[.='Remove']
22:58:17 INFO  manager.MyListener  Element  with locator -->   By.xpath: //button[.='Remove']  is found!!!
22:58:17 INFO  manager.MyListener  Start searching element by locator -->   By.xpath: //div[@class='contact-item_card__2SOIM'][position()=1]
22:58:17 INFO  manager.MyListener  Element  with locator -->   By.xpath: //div[@class='contact-item_card__2SOIM'][position()=1]  is found!!!
22:58:17 INFO  tests.TestBase              ######### FINISHED TEST public void tests.RemoveContactTests.removeOneContact()  ##########
